Apps,Version,Pubs,Datasets,ntax,alignment_counts,site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,CPU_usage
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:00.81,377424,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,605488,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.35,602480,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,602368,183%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,599200,185%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,601552,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.35,643856,182%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,599536,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.34,602000,182%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,604992,184%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:01.33,602384,182%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.68,1279664,538%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.68,1293360,538%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.67,1294512,539%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.64,1303216,547%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.63,1278720,547%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.68,1292816,536%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.67,1293024,539%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.63,1282896,545%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.66,1278016,540%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:03.70,1293072,532%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.44,1556320,306%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.08,1868320,325%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.04,1860480,326%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.12,1847840,324%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.42,1847280,298%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.38,1867936,299%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.33,1858224,307%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.22,1862144,319%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.30,1815456,315%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:05.27,1850816,315%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:21.05,1280528,175%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.76,1289952,177%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:21.07,1299184,176%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.82,1282336,177%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.94,1306080,177%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.61,1297856,178%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:21.09,1290096,176%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.65,1288512,178%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.78,1297936,178%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,0:20.66,1315792,178%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:39.38,1867440,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:44.58,1854784,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:43.61,1806800,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:44.85,1864032,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:48.05,1862784,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:45.89,1881104,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:39.03,1753056,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:45.69,1808256,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:40.86,1729424,102%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/10/2022,TRUE,6:38.39,1872032,102%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:10.91,318456,107%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.94,317732,113%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:09.08,315244,109%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:10.12,316568,110%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:10.25,317080,108%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.87,315768,113%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.67,317000,114%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.58,317336,115%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.64,316836,114%
SEGUL,0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:08.98,317684,114%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:21.51,462716,100%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:17.85,462632,105%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:17.06,467732,106%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:19.16,462840,103%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:16.14,462468,110%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:15.32,461732,112%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:16.14,463140,108%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:17.58,464632,108%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:14.72,467128,114%
SEGUL,0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:14.58,463824,114%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:05.56,315276,122%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.47,316700,126%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.51,316824,129%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.77,316524,122%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.61,317776,123%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.08,315976,133%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:03.80,314056,136%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:03.85,317640,135%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:04.08,316952,130%
SEGUL (--datatype ignore),0.16.3,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:03.85,317552,138%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:07.68,462116,124%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.13,457564,141%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.39,461268,137%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:07.60,460780,126%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:07.75,460832,124%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:07.76,459684,126%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.32,463096,136%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.43,456848,136%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.57,461656,130%
SEGUL (--datatype ignore),0.16.3,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:06.68,461540,131%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.86,1192568,262%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:19.48,1287812,303%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.88,1228972,262%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.25,1284744,268%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:19.36,1286556,305%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.38,1168312,267%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:21.19,1294604,278%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:19.24,1286092,307%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:23.02,1144472,261%
AMAS,v1.02,Wu et al. 2018,Wu et al. 2018 (AA),90,5162,3050198,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:19.83,1280480,296%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.51,1324616,226%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:24.07,1728308,209%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.83,1548452,216%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.41,1792728,223%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:22.19,1791296,222%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:21.14,1713588,234%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:24.78,1644708,206%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:20.86,1803836,235%
AMAS,v1.02,Shen et al. 2018,Shen et al. 2018 (AA),343,2408,1162805,AA,Alignment Concatenation,Desktop,macOS,Apple M1,03/19/2022,TRUE,0:20.29,1789956,242%
